Item ID,Description,Start date,End date,Series ID,Series,Source
794288,IPSWICH CENTRAL GIRLS AND INFANTS State School,1973-09-07,1973-12-07,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794288
794289,IPSWICH CENTRAL GIRLS AND INFANTS State School,1971-08-06,1971-06-16,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794289
794290,IPSWICH CENTRAL GIRLS AND INFANTS State School,1970-05-03,1970-10-03,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794290
794291,IPSWICH EAST State School,1971-03-26,1971-06-04,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794291
794292,IPSWICH State High School,1970-04-14,1970-04-16,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794292
794293,IPSWICH NORTH State School,1970-04-20,1970-04-29,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794293
794294,IPSWICH NORTH State School,1971-05-25,1971-04-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794294
794295,IPSWICH NORTH State School,1973-04-06,1973-08-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794295
794296,IPSWICH OPPORTUNITY State School,1971-09-13,1971-09-22,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794296
794297,IPSWICH OPPORTUNITY State School,1973-06-03,1973-09-03,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794297
794298,IPSWICH state high school,1971-02-08,1971-02-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794298
794299,IPSWICH WEST State School,1970-03-24,1970-03-25,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794299
794300,IPSWICH WEST State School,1972-03-08,1972-04-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794300
794301,IREDALE State School,1971-04-28,1971-04-28,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794301
794302,IREDALE State School,1973-03-19,1973-03-19,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794302
794303,IRON POT CREEK State School,1970-08-09,1970-08-09,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794303
794304,IRON POT CREEK State School,1971-06-16,1971-06-16,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794304
794305,IRON POT CREEK State School,1972-06-06,1972-06-06,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794305
794306,IRONPOT CREEK State School,1973-04-18,1973-04-18,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794306
794307,IRONSIDE State School,1971-07-10,1971-10-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794307
794308,IRONSIDE Infants State School,1973-03-12,1973-04-12,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794308
794309,IRVINEBANK State School,1970-07-15,1970-07-15,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794309
794310,IRVINEBANK State School,1971-05-25,1971-05-25,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794310
794311,IRVINEBANK State School,1972-09-08,1972-09-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794311
794312,IRVINEBANK State School,1973-01-08,1973-01-08,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794312
794313,ISA MINES State School,1970-01-09,1970-03-09,4533,Inspectors' Reports,http://www.archivessearch.qld.gov.au/search/itemdetails.aspx?itemid=794313
