School Name, No,Type,Locality,Year,Page,QSA Ref,Item ID,Series ID,Notes,Archivist Notes,Index Name,Description,Item ID Source,
Freestone Creek,40,State School,,1873,223,EDU/N1,2543,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Freestone Creek,40,State School,,1873,249,EDU/N1,2543,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Freestone Creek,40,State School,,1874,273,EDU/N3,2545,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N4,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2545,
Freestone Creek,40,State School,,1875,301,EDU/N5,2547,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N6,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2547,
Freestone Creek,40,State School,,1875,391,EDU/N5,2547,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N6,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2547,
Freestone Creek No 1,40,State School,,1874,335,EDU/N3,2545,10782,Freestone Creek Primary School or Freestone Creek No 1 or Freestone Creek Lower,Dup of EDU/N4,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2545,
Freestone Creek No 2,209,State School,,1875,379,EDU/N5,2547,10782,Freestone Creek No 2 Provisional School bacame Freestone Creek Upper State School,Dup of EDU/N6,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2547,
Gatton,41,State School,Gatton,1872,44,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Gatton,264,Roman Catholic Non Vested School,Gatton,1873,145,EDU/N1,2543,10782,,Dup of EDU/N2,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2543,
Gatton,264,Roman Catholic Non Vested School,Gatton,1874,177,EDU/N3,2545,10782,,Dup of EDU/N4,Index to Correspondence Register of School Inspector's Reports 1872-1875,Printed correspondence comprising reports of schools and reports to the Board of General Education,http://www.archivessearch.qld.gov.au/Search/ItemDetails.aspx?ItemId=2545,
